-1,-1,-1,-1,-1,-1,258,102,185,355,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,185,355,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,237,123,185,355,-1,-1,190,350,-1,-1,-1,-1,200,40,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,185,355,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,185,355,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,281,79,-1,-1,185,355,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,185,355,-1,-1,190,350,-1,-1,-1,-1,200,40,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,185,355,-1,-1,190,350,-1,-1,-1,-1,163,77,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,185,355,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,190,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,360
-1,-1,-1,-1,-1,-1,-1,-1,185,355,-1,-1,190,350,-1,-1,258,346,-1,-1,-1,-1,163,327,360
-1,-1,258,102,-1,-1,-1,-1,185,355,-1,-1,190,350,-1,-1,-1,-1,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,190,350,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,163,327,360
-1,-1,-1,-1,-1,-1,-1,-1,190,350,-1,-1,190,350,-1,-1,262,342,-1,-1,-1,-1,159,331,360
