0.249,11.361,11.542,0.068,0.0,0.0,0.023,11.587,0.0,0.0,11.383,0.227,360
0.249,11.361,0.249,11.361,0.023,11.587,0.023,11.587,0.295,11.315,11.383,0.227,360
0.249,11.361,0.249,11.361,0.045,11.565,0.023,11.587,0.295,11.315,11.383,0.227,360
0.249,11.361,0.023,11.587,0.0,0.0,0.023,11.587,11.474,0.136,11.383,0.227,360
0.249,11.361,0.023,11.587,0.045,11.565,0.023,11.587,0.295,11.315,11.383,0.227,360
0.023,11.587,0.249,11.361,0.023,11.587,0.023,11.587,0.159,11.451,4.286,7.324,360
0.181,11.429,0.0,0.0,0.023,11.587,0.023,11.587,0.295,11.315,11.383,0.227,360
0.249,11.361,0.249,11.361,0.023,11.587,0.023,11.587,11.111,0.499,11.383,0.227,360
0.249,11.361,0.068,11.542,0.023,11.587,0.045,11.565,11.497,0.113,11.383,0.227,360
11.542,0.068,0.068,11.542,0.023,11.587,0.023,11.587,11.587,0.023,11.383,0.227,360
0.023,11.587,11.542,0.068,0.045,11.565,0.023,11.587,0.295,11.315,0.136,11.474,360
0.249,11.361,0.249,11.361,0.023,11.587,0.045,11.565,0.295,11.315,11.383,0.227,360
0.249,11.361,0.0,0.0,0.023,11.587,0.045,11.565,0.045,11.565,0.023,11.587,360
0.023,11.587,0.249,11.361,0.023,11.587,0.023,11.587,0.295,11.315,0.0,0.0,360
0.113,11.497,0.0,0.0,0.045,11.565,0.023,11.587,11.497,0.113,11.383,0.227,360
0.023,11.587,0.249,11.361,0.023,11.587,0.023,11.587,0.0,0.0,0.023,11.587,360
11.587,0.023,0.0,0.0,0.045,11.565,0.045,11.565,0.0,0.0,0.0,0.0,360
0.249,11.361,0.249,11.361,0.0,0.0,0.023,11.587,0.295,11.315,11.383,0.227,360
0.0,0.0,11.565,0.045,0.0,0.0,0.045,11.565,0.0,0.0,0.0,0.0,360
0.0,0.0,0.0,0.0,0.0,0.0,0.023,11.587,0.0,0.0,11.587,0.023,360
0.249,11.361,0.113,11.497,0.023,11.587,0.023,11.587,0.091,11.519,11.383,0.227,360
0.249,11.361,0.249,11.361,0.045,11.565,0.023,11.587,0.295,11.315,11.383,0.227,360
0.023,11.587,0.0,0.0,0.023,11.587,0.023,11.587,0.0,0.0,0.023,11.587,360
0.0,0.0,0.0,0.0,0.023,11.587,0.023,11.587,0.0,0.0,0.0,0.0,360
0.249,11.361,0.249,11.361,0.023,11.587,0.045,11.565,0.295,11.315,11.383,0.227,360
0.068,11.542,0.045,11.565,0.0,0.0,0.023,11.587,0.068,11.542,11.383,0.227,360
0.0,0.0,0.0,0.0,0.0,0.0,0.023,11.587,0.0,0.0,0.0,0.0,360
0.204,11.406,0.249,11.361,0.0,0.0,0.023,11.587,0.295,11.315,11.383,0.227,360
0.249,11.361,0.249,11.361,0.045,11.565,0.023,11.587,11.587,0.023,11.383,0.227,360
0.249,11.361,0.249,11.361,0.023,11.587,0.023,11.587,0.295,11.315,11.383,0.227,360
0.0,0.0,0.0,0.0,0.0,0.0,0.023,11.587,0.0,0.0,0.0,0.0,360
0.249,11.361,0.249,11.361,0.023,11.587,0.023,11.587,11.519,0.091,11.383,0.227,360
